,product_category_name,mean,late,total,ratio
1,eletronicos,7.743015131,274,2800,0.097857143
2,beleza_saude,8.82741614,888,9733,0.091236001
3,bebes,10.90248926,276,3102,0.088974855
4,moveis_escritorio,11.77336889,152,1747,0.087006297
5,telefonia,8.25668811,387,4585,0.084405671
6,relogios_presentes,9.210328713,504,6039,0.083457526
7,moveis_decoracao,9.571914385,700,8536,0.082005623
8,automotivo,11.08458304,350,4273,0.081909665
9,cama_mesa_banho,9.7558441,946,11622,0.08139735
10,ferramentas_jardim,9.678130561,358,4452,0.080413297
11,papelaria,10.44550869,204,2557,0.079780993
12,consoles_games,9.071563786,90,1135,0.079295154
13,informatica_acessorios,9.462357639,600,7876,0.076180802
14,perfumaria,10.39251632,261,3464,0.07534642
15,esporte_lazer,9.718117416,641,8715,0.073551348
16,brinquedos,9.974915249,307,4174,0.073550551
17,utilidades_domesticas,9.607289911,468,7163,0.065335753
18,cool_stuff,10.3858897,254,3894,0.065228557
19,fashion_bolsas_e_acessorios,9.02868447,136,2099,0.064792758
20,pet_shop,6.737705134,123,2001,0.061469265
21,malas_acessorios,6.4229017,58,1144,0.050699301
